_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6777f4939894964293e208ea,true,52.35,91.67,52.35,66.35,55;0;0;0,words,10,-1,0,12.61,0,0,false,false,english,none,normal,false,false,false,,1735914643000
6777f4619894964293e2061a,true,51.59,95.93,51.59,70.61,258;0;0;0,time,60,-1,5,60.02,0,11.42,false,false,english,none,normal,false,false,false,,1735914593000
6777f4029894964293e200e9,true,62.35,100,62.35,75.47,78;0;0;0,time,15,-1,3,15.01,0,17.04,false,false,english,none,normal,false,false,false,,1735914498000
6777f3b19894964293e1fcb1,,51.59,94.89,51.59,67.68,129;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1735914417000
6777f3629894964293e1f8cc,,45.96,92.91,45.96,67.91,115;0;0;0,time,30,-1,1,30.03,0,9.04,false,false,english,none,normal,false,false,false,,1735914338000
6777f3319894964293e1f67f,,49.18,97.62,49.18,62.42,123;0;0;0,time,30,-1,2,30.02,1,2.45,false,false,english,none,normal,false,false,false,,1735914289000
6777f3009894964293e1f405,,48.4,99.18,48.4,68.94,121;0;0;0,time,30,-1,2,30,0,5.09,false,false,english,none,normal,false,false,false,,1735914240000
6777f2d49894964293e1f1e0,,44,91.87,44,68.3,110;0;0;0,time,30,-1,1,30,0,6.85,false,false,english,none,normal,false,false,false,,1735914196000
6777f2a69894964293e1ef8c,,43.98,89.52,43.98,59.19,110;0;0;0,time,30,-1,1,30.02,0,4.8,false,false,english,none,normal,false,false,false,,1735914150000
6777f26f9894964293e1eca8,true,35.59,87.74,37.19,72.92,89;1;0;0,time,30,-1,2,30.01,0,1.68,false,false,english_doubleletter,none,normal,false,false,false,,1735914095000
6777f2279894964293e1e8c0,,47.99,97.58,47.99,69.57,120;0;0;0,time,30,-1,5,30.01,0,14.91,false,false,english,none,normal,false,false,false,,1735914023000
6777edf69894964293e1b2a9,true,52.78,96.38,52.78,66.05,132;0;0;0,time,30,-1,1,30.01,0,1.57,false,false,english,none,normal,false,false,false,,1735912950000
6777edc69894964293e1b052,true,46.8,95.16,47.2,71.56,117;1;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1735912902000
6777ed969894964293e1ade6,,43.11,90.49,43.11,62.72,253;0;0;0,words,50,-1,5,70.42,0,12.34,false,false,english,none,normal,false,false,false,,1735912854000
6777ed029894964293e1a672,true,45.79,92.49,45.79,62.94,264;0;0;0,words,50,-1,3,69.18,0,9.99,false,false,english,none,normal,false,false,false,,1735912706000
6777ec909894964293e1a093,true,43.23,89.49,43.23,55.61,245;0;0;0,words,50,-1,0,68.01,1,0,false,false,english,none,normal,false,false,false,,1735912592000
